FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,1206726,1060117,953791,11287704,907485,664326,622424,10311115,7488455,7979545,8356458,10766396,8825639,8887396,9147825,OYAKC
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
1BFAA,Kullanım Hakkı Varlıkları,None,1366134,1161893,902652,11643380,3133611,2920858,3165698,9656564,10746971,10940522,10440931,30352312,25301796,23056533,24644725,OYAKC
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,141504355,130319291,123350038,731954050,131550729,111347872,131996174,690394898,500533593,537541705,578779249,824965595,691443908,716322010,774371760,OYAKC
1BGA,Şerefiye,Goodwill,481668,423149,380708,166039874,368095,273021,257527,152267303,110649041,117973120,123618745,159362938,130636069,131600125,135456796,OYAKC
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,4441900,3700598,2923084,23583925,3457938,2552380,2340419,26201822,19700784,20886866,28423259,38283476,31542591,33255032,34105359,OYAKC
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,7793257,9144986,9783024,129738972,114036755,92027107,119098616,108430276,70335704,66605226,61978942,47606351,28512395,40218071,37264453,OYAKC
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,3225577,4157606,2886776,8286498,3362413,8018246,5061985,8943650,4810376,18794933,26662131,87673152,74086581,74252519,65364240,OYAKC
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,369793034,420886945,422756201,1909018076,659219415,585540178,677538892,1731888580,1220328986,1365080714,1507322458,2002841011,1724286631,1783372592,1924820134,OYAKC
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,116059043,156931616,147717453,454335876,199868837,170737000,189763183,326314508,180802772,198331780,225432465,340367808,408786061,388270869,436467185,OYAKC
2AA,Finansal Borçlar,Short-Term Financial Loans,25506956,54059158,41145438,149397348,56350273,57900104,35608779,75968670,3589322,34106992,21070530,3943364,30650231,35222761,63597362,OYAKC
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,72996666,77477294,81087343,177856790,97331244,72846358,101565936,178266719,115650340,109617575,133190085,215309273,156184119,152171009,166620189,OYAKC
2AAGAB,Diğer Borçlar,Other Short-Term Loans,2011714,1854355,4855479,49647668,5953587,10915235,6665763,8741811,10408832,5253484,8170403,53571639,173152631,168213590,166863653,OYAKC
2AAGAC,Müşteri Söz. Doğan Yük.,None,0,0,0,11981993,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,5752277,7370916,4925037,0,6579516,6247740,7178149,8147502,5453182,5703976,6260612,9243482,5944912,6438480,5291491,OYAKC
