FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
4BC,Yurtiçi Satışlar,Domestic Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
4BD,Yurtdışı Satışlar,Export Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,-6527949,36725541,43221860,42083151,19100604,23452326,13945342,48943336,32025145,38017541,21806815,46204392,-4992043,-18159563,-84518333,MPARK
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,-12496020,30646109,36826951,31638439,11684850,11123233,1607283,32961783,23535823,26431024,24955793,38484646,-39503392,-71071517,-146834217,MPARK
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),-6527949,36725541,43221860,42083151,19100604,23452326,13945342,49386082,32025145,38017541,21806815,46204392,-4992236,-18159589,-84518333,MPARK
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,34492215,53613494,77550245,218265463,102390081,142837100,193114597,284195438,82301689,115535896,248429833,291608633,64197994,102013535,133508503,MPARK
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,14310059,40593049,67832608,294399088,18163572,86235521,138326519,287680546,33540854,87780759,183560223,220760446,35185284,66334634,116586383,MPARK
4CAA,Düzeltmeler:,Adjustments:,22083509,28352501,36723703,-125695014,29046462,34848224,26556387,-12098016,48909637,61973131,28985347,83699436,48233413,80069342,105502861,MPARK
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,7792630,14328401,20098939,75938801,24039977,49115369,66266682,93448296,27074114,54324199,79064684,103454436,21768441,45633435,75395384,MPARK
4CAC,Karşılıklardaki Değişim,Change in Provisions,1442671,1750435,2729130,3554918,-784547,-1545644,280103,5310314,1558506,1585008,1422088,1780071,2571927,2661795,2768706,MPARK
4CAD,Diğer Gelir/ Gider,Other Income / Expense,12848207,12273665,13895634,-205188733,5791032,58006269,81499066,149985174,44078275,50067880,29116419,73820696,29191688,48330606,49843416,MPARK
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),36393567,68945550,104556311,168704074,47210034,121083745,164882906,275582530,82450491,149753890,212545570,304459882,83418697,146403976,222089244,MPARK
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,929671,-11273839,-22506574,53376854,78984919,33924222,45273170,37504152,10938514,-16114640,60571221,24137776,-7953233,-24294225,-59654743,MPARK
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),37323238,57671711,82049737,222080928,126194953,155007967,210156076,313086681,93389005,133639251,273116791,328597658,75465465,122109751,162434501,MPARK
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,-2831023,-4058217,-4499492,-3815465,-23804872,-12170867,-17041479,-28891243,-11087317,-18103354,-24686958,-36989025,-11267471,-20096217,-28925999,MPARK
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),-6565307,-19001601,-27781338,-65899326,-11046701,-28394700,-69711799,-82693837,-5902536,-32617048,-101219021,-133937748,-21278946,-61796211,-147778851,MPARK
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,-406650,24826307,13660545,-66248407,-17518278,-11012581,-11460450,-27677152,-10844426,1474515,-6114746,-1138753,-17615770,-38365640,-38455913,MPARK
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,-6971958,5824706,-14120794,-132147733,-28564978,-39407281,-81172249,-110370989,-16746962,-31142533,-107333767,-135076501,-38894715,-100161851,-186234764,MPARK
4CB,Serbest Nakit Akım,Free Cash Flow,27520257,59438200,63429451,86117730,73825103,103429819,111942348,173824449,65554727,84393363,141096066,156532132,25303279,1851684,-52726261,MPARK
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,-12077775,3336560,1767660,1640083,3233989,-3702677,23697513,110624845,-24062754,-14905510,4705204,-14671002,31140320,223923039,271817693,MPARK
4CBB,Temettü Ödemeleri,Dividends Paid,-266520,-250158,-234021,-3087569,0,-2426063,-2356958,-2724087,0,-310354,-5157497,-7485586,0,-5569991,-6431525,MPARK
4CBC,Sermaye Artırımı,Rights Issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,-17361798,-30407438,-45248111,-119533898,-34038180,-67687339,-88547056,-160697625,-52903413,-88029858,-116715304,-137609381,-31494995,-57495811,-78799282,MPARK
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,-29706093,-27321036,-43714472,-120981385,-30804191,-73816078,-67206501,-52796867,-76966167,-103245723,-117167596,-159765968,-354675,160857237,186586885,MPARK
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,-2185836,32117165,19714980,-34863655,43020912,-11203937,2002977,121027582,-30308760,-18852360,23928470,-3233836,17378069,162708921,133860625,MPARK
4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,0,0,0,0,-36317882,0,0,0,0,0,0,0,-479759,-1070198,-1387834,MPARK
4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,-2185836,32117165,19714980,-34863655,6703030,-11203937,2002977,121027582,-30308760,-18852360,23928470,-3233836,16898310,161638723,132472791,MPARK
