FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
4CBB,Temettü Ödemeleri,Dividends Paid,SOKM,0,0,0,0,0,0,-9518783,-8642988,0,0,0,0,0,-25998508,-25258330,-25879761,0,0,-44976216,-67333848,0,0,0
4CBC,Sermaye Artırımı,Rights Issue,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,SOKM,-37564062,-69217550,-100188897,-133547759,-36949578,-72121173,-108121921,-134964684,-25373272,-50438991,-75985819,-399293974,-95704974,-94738798,-218469027,-447381077,-112766880,-185796401,-240861377,-406027667,-82876884,-176096718,-210763194
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,SOKM,-37564062,-69217550,-100188897,-133547759,-36949578,-72121173,-117640705,-143607671,-25373272,-50438991,-75985819,-399293974,-95704974,-120737306,-243727357,-473260837,-112766880,-185796401,-285837592,-473361515,-82876884,-176096718,-210763194
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,SOKM,19484052,75255038,74864600,102141400,21832085,17829757,30533041,21813491,-14599383,-13241187,-44517194,-67910796,124297301,139598761,166693768,168597892,91302496,121426316,18451136,-11433863,12201420,46012248,111749322
4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,SOKM,0,0,0,0,0,0,0,0,0,0,0,-65805403,-69160290,0,0,0,0,0,0,0,0,0,0
4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,SOKM,19484052,75255038,74864600,102141400,21832085,17829757,30533041,21813491,-14599383,-13241187,-44517194,-133716199,55137011,139598761,166693768,168597892,91302496,121426316,18451136,-11433863,12201420,46012248,111749322
4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,SOKM,70532804,66555621,64041483,61370817,155175311,145641823,141793414,128747413,96171754,90267697,84444617,218912185,86206675,90080748,87516147,86643102,216212764,224405363,236327490,232062808,175537088,179984803,187715139
4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,SOKM,90016856,141810659,138906083,163512216,177007396,163471579,172326455,150560905,81572371,77026511,39927422,85195986,141343687,212754819,254209915,255240995,307515260,345831680,254778627,220628946,187738508,225997050,299464461
