FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2015/3,2015/6,2015/9,2015/12,2016/3,2016/6,2016/9,2016/12,2017/3,2017/6,2017/9,2017/12,2018/3,2018/6,2018/9,2018/12,2019/3,2019/6,2019/9,2019/12,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1AKA,11.1 Özkaynak Yöntemine Göre Muhasebeleştirilenler,11.1 Accounted With Eequity Method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AKB,11.2 Konsolide Edilmeyenler,11.2 Non-Consolidated Jointly Controlled Associates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AKC,11.2.1 Mali Ortaklıklar,11.2.1 Financial Jointly Controlled Associates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AKD,11.2.2 Mali Olmayan Ortaklıklar,11.2.2 Non-Financial Jointly Controlled Associates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AL,XII. KİRALAMA İŞLEMLERİNDEN ALACAKLAR,XII. RECEIVABLES FROM LEASING TRANSACTIONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1ALA,12.1 Finansal Kiralama Alacakları,12.1 Gross Finance Lease Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1ALB,12.2 Faaliyet Kiralaması Alacakları,12.2 Operational Lease Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1ALC,12.3 Diğer,12.3 Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1ALD,12.4 Kazanılmamış Gelirler (-),12.4 Unearned Income (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AM,XIII. RİSKTEN KORUNMA AMAÇLI TÜREV FİNANSAL VARLIKLAR,XIII. DERIVATIVE FINANCIAL ASSETS FOR HEDGE PURPOSES,0,0,0,0,0,0,0,0,0,2684000,1890000,2786000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AMA,13.1 Gerçeğe Uygun Değer Riskinden Korunma Amaçlılar,13.1 Hedging For Fair Value Risk,0,0,0,0,0,0,0,0,0,2684000,1890000,2786000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AMB,13.2 Nakit Akış Riskinden Korunma Amaçlılar,13.2 Hedging For Cash Flow Risk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AMC,13.3 Yurtdışındaki Net Yatırım Riskinden Korunma Amaçlılar,13.3 Hedging For Net Investments Risk in Abroad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AN,XIV. MADDİ DURAN VARLIKLAR (Net),XIV. PROPERTY AND EQUIPMENT (Net),906515000,911598000,898063000,852442000,839845000,889419000,929661000,992933000,990011000,998241000,1020083000,308605000,305355000,303403000,330502000,627949000,814120000,802676000,786818000,789744000,782137000,766422000,762081000,764387000,848111000,842929000,853386000,1096525000,1126011000,1449106000,1466319000,1708560000,2162995000,2420559000,2412324000,2697528000,2743915000,2805049000,2949267000,3722083000,3821986000,4351635000,4325994000,SKBNK
1AO,XV. MADDİ OLMAYAN DURAN VARLIKLAR (Net),XV. INTANGIBLE ASSETS (Net),76477000,71842000,86362000,98967000,99406000,95536000,95060000,93634000,89693000,87814000,84834000,86791000,87298000,84034000,82540000,92434000,108474000,109931000,109352000,125803000,123125000,126169000,125373000,123812000,125593000,128911000,129762000,135452000,134473000,134475000,135621000,140114000,144573000,139833000,146023000,150690000,168041000,233474000,249291000,299246000,366618000,486934000,573328000,SKBNK
1AOA,15.1 Şerefiye,17.1 Goodwill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AOB,15.2 Diğer,17.2 Other,76477000,71842000,86362000,98967000,99406000,95536000,95060000,93634000,89693000,87814000,84834000,86791000,87298000,84034000,82540000,92434000,108474000,109931000,109352000,125803000,123125000,126169000,125373000,123812000,125593000,128911000,129762000,135452000,134473000,134475000,135621000,140114000,144573000,139833000,146023000,150690000,168041000,233474000,249291000,299246000,366618000,486934000,573328000,SKBNK
1AP,XVI. YATIRIM AMAÇLI GAYRİMENKULLER (Net),XVI. REAL ESTATES FOR INVESTMENT PURPOSE (Net),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AR,XVII. VERGİ VARLIĞI,XVII. TAX ASSETS,0,0,4312000,0,2784000,4892000,729000,2240000,8593000,0,16993000,59764000,147627000,153339000,147025000,143746000,173055000,214342000,214483000,335749000,329034000,312529000,318756000,299125000,305566000,330216000,326370000,308768000,401382000,511994000,682309000,651090000,729653000,586703000,642255000,1388740000,1535818000,1571229000,1574570000,1277304000,1145687000,574899000,491032000,SKBNK
1ARA,17.1 Cari Vergi Varlığı,17.1 Current Tax Assets,0,0,0,0,0,0,0,0,0,0,16993000,0,2000,0,18512000,1422000,0,12194000,12276000,12411000,12446000,58000,146000,184000,228000,46000,48000,0,0,0,0,0,0,0,0,0,0,0,222053000,297394000,298117000,0,115381000,SKBNK
1ARB,17.2 Ertelenmiş Vergi Varlığı,17.2 Deferred Tax Assets,0,0,4312000,0,2784000,4892000,729000,2240000,8593000,0,0,59764000,147625000,153339000,128513000,142324000,173055000,202148000,202207000,323338000,316588000,312471000,318610000,298941000,305338000,330170000,326322000,308768000,401382000,511994000,682309000,651090000,729653000,586703000,642255000,1388740000,1535818000,1571229000,1352517000,979910000,847570000,574899000,375651000,SKBNK
