FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),13987319,75922288,125229036,345213325,76763900,221808134,459184895,688446659,196883130,269797263,230974464,113443220,232087728,-10999841,-45147825,ODAS
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,20483220,16681500,32300374,123168547,-131113013,-121894108,-63099056,-91985502,-97363311,-72707828,-36988461,-71746364,-147037888,-30141898,-20230426,ODAS
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),34470539,92603788,157529409,468381872,-54349113,99914026,396085839,596461157,99519820,197089435,193986003,41696856,85049840,-41141738,-65378252,ODAS
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,14819,47,-55702,-251460,229944,137227,49572,0,0,0,305262,0,0,0,-157625,ODAS
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),-8736287,-33143353,-48417436,-153861044,-52133901,-100065326,-207776291,-391416553,-114452286,-151824931,-262095050,-113202691,-112684037,9354545,31358596,ODAS
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,34076,-21080,13879,69682,159385,0,0,696,170263,321477,0,523468,-84752,-120143,0,ODAS
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,-8702211,-33164433,-48403557,-153791362,-51974516,-100065326,-207776291,-391415857,-114282023,-151503454,-262095050,-112679223,-112768789,9234402,31358596,ODAS
4CB,Serbest Nakit Akım,Free Cash Flow,25783146,59439402,109070151,314339050,-106093685,-14072,188359120,205045301,-14762204,45585981,-67803784,-70982367,-27718949,-31907337,-34177281,ODAS
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,-12701842,-20035381,-20510153,-41544308,1924268,1736980,-136876072,-189523232,731564,-9527894,-16745529,4049364,13776100,19662448,8166747,ODAS
4CBB,Temettü Ödemeleri,Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
4CBC,Sermaye Artırımı,Rights Issue,0,0,0,0,0,0,0,274078063,174870,111954187,108246921,100022156,0,0,0,ODAS
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,81914,-49822,-142253,-492374,-198899,17095,252067,-120879,20962,11836030,14102150,-1081225,-135959,2151936,1086651,ODAS
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,-12619928,-20085203,-20652406,-42036683,1725369,1754076,-136624005,84433953,927396,114262323,105603542,102990295,13640141,21814384,9253398,ODAS
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,13163218,39354198,88417745,272302368,-104368316,1740004,51735114,289479254,-13834808,159848304,37799757,32007927,-14078808,-10092953,-24923883,ODAS
4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,0,0,0,-154118971,-13239760,-123664560,-126279599,-393968466,-907452,-82126697,3371685,-264434,3912192,6385533,-1810856,ODAS
4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,13163218,39354198,88417745,118183396,-117608076,-121924557,-74544485,-104489212,-14742260,77721608,41171443,31743494,-10166616,-3707420,-26734738,ODAS
4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,12399777,11638545,10887754,28225150,148145407,153239611,148876876,147391708,36342388,37719451,39723396,39006562,56290251,57716519,60195440,ODAS
4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,25562995,50992743,99305499,146408547,30537331,31315054,74332391,42902496,21600127,115441058,80894839,70750056,46123635,54009099,33460702,ODAS
