FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,LOGO,4223024,9006694,13931038,16801069,8285272,16492490,23042595,33620627,7548082,18566377,25287925,23464866,2822211,25593905,17502447,12297315,13049,8768187,13123854,11627447,21902820,29749313,37062540
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,LOGO,-939055,-1116550,-1675935,-606514,-1172982,-1720647,-2714510,-2546737,-834342,-2270299,-2822135,-3442670,-7903906,-10920615,-9904115,-3203470,-2081335,-1365350,-1677819,29303,-1762233,-1717626,-1621340
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),LOGO,-371164,-720528,-1527613,-1586813,-780120,-1567028,-1992031,-3314792,-103917,-1480460,-2143576,-3540473,-5518031,-8764339,-7562428,-7172871,-430097,-164664,0,0,0,0,0
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,LOGO,-567891,-396022,-148322,980299,-392863,-153619,-722478,768055,-730425,-789838,-678559,97803,-2385875,-2156276,-2341687,3969401,-1651237,-1200686,-1677819,29303,-1762233,-1717626,-1621340
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,LOGO,3283969,7890144,12255103,16194555,7112290,14771843,20328085,31073890,6713740,16296078,22465790,20022196,-5081695,14673290,7598331,9093845,-2068286,7402837,11446035,11656751,20140587,28031688,35441200
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1213965,462171,897637,2128222,2210962,0,0,0
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,LOGO,3283969,7890144,12255103,16194555,7112290,14771843,20328085,31073890,6713740,16296078,22465790,20022196,-5081695,14673290,7598331,7879880,-1606115,8300474,13574257,13867713,20140587,28031688,35441200
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3LB,Azınlık Payları,Minority Interests,LOGO,-105090,-75105,-60837,-102461,-278371,-413707,-445468,1421713,86598,213414,292840,845982,-77380,-324280,-261003,-612165,-21899,179527,425651,442185,0,0,0
3Z,Ana Ortaklık Payları,Parent Shares,LOGO,3389059,7965249,12315939,16297016,7390660,15185550,20773553,29652177,6627142,16082664,22172950,19176214,-5004315,14997570,7859334,8492045,-1584216,8120947,13148606,13425528,20140587,28031688,35441200
3ZD,Hisse Başına Kazanç,Earnings per Share,LOGO,1,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0
4B,Amortisman Giderleri,Depreciation & Amortization,LOGO,2360796,4561419,6818365,9012077,2396382,4742605,6999106,8837055,1890975,3680754,5376693,19720661,6005072,11729168,17019541,17299301,4090448,8716451,14131196,18894402,4209794,8768366,13936499
4BA,Kıdem Tazminatı,Severance Payments,LOGO,34378,64879,93642,156573,246178,319864,579446,817353,25836,555532,484191,784712,209964,446244,21360,1005391,372637,607268,1036617,1251579,167229,327822,470350
4BB,Finansman Giderleri,Financial Expenses,LOGO,-362720,-818271,-1147729,-2929900,-515988,-1310982,-2022074,-4444521,-2854497,-5089548,-6670341,-47749894,-12870166,-19567787,-41921165,-39408339,-12492821,-20143426,-28484696,-33228184,-4513194,-8139613,-12362367
4BC,Yurtiçi Satışlar,Domestic Sales,LOGO,10351765,21732743,32289427,52074796,12323077,26864422,0,56533087,12472076,28702928,40732720,0,29361805,68991881,50604412,0,0,52035218,0,0,0,0,0
4BD,Yurtdışı Satışlar,Export Sales,LOGO,6284563,12024013,18004397,25480581,6499290,13335352,0,29377632,6789123,14077589,23341419,0,13513450,27875782,24224971,0,0,19968642,0,0,0,0,0
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,LOGO,-12825281,-10406629,-11047541,-4711185,-4988553,-5342903,-6716069,14031592,15478352,9376897,17276957,30932330,18256460,20203822,19531731,34371941,17742006,6454350,-5008860,10019801,213897,1072252,2612950
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,LOGO,-12825281,-10406629,-11047541,-4711185,-4988553,-5342903,-6716069,14031592,15478352,9376897,17276957,30932330,18256460,20203822,19531731,36470265,17742006,6454350,-5008860,10019801,213897,1072252,2612950
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),LOGO,-12825281,-10406629,-11047541,-4711185,-4988553,-5342903,-6716069,12043501,16080968,-2325089,16257268,30932330,18256460,20203822,19531731,36470265,17742006,6454350,-5008860,10019801,213897,1072252,2612950
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,LOGO,5860521,15506372,25964515,37579855,6973955,12510188,14606921,41810634,9825811,15002833,27605446,10539807,-20150955,-6579883,-18812779,40999960,-13007575,28168426,39457559,60856812,19675473,19344637,31039610
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,LOGO,3283969,7890144,12255103,16194555,7112290,14771843,20328085,31073890,6713740,16296078,22465790,20022196,-4687807,14673290,7598331,7879880,-1606115,8300474,13574257,13867713,20140587,28031688,35441200
4CAA,Düzeltmeler:,Adjustments:,LOGO,5447213,5561269,9111951,23213853,7132348,6694650,8342706,-37646,1779686,2751739,4827523,-9930839,-11637533,-21310342,-21250821,18595814,-2483332,23822708,35380050,42724873,10121499,-1054271,6760794
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,LOGO,2360796,4561419,6818365,9012077,2396382,4742605,6999106,8837055,1890975,3680763,5376693,19720661,5539467,11729168,17019541,17299301,4090448,8716451,14131196,18894402,4209794,8768366,13936499
4CAC,Karşılıklardaki Değişim,Change in Provisions,LOGO,1186854,-2564689,-2862972,6125800,3611426,1167815,1305931,1575212,558089,1442372,894921,2237314,1374956,2131630,2319479,3188782,1827107,2161253,2781165,3425720,943107,1529464,2005633
4CAD,Diğer Gelir/ Gider,Other Income / Expense,LOGO,1899563,3564539,5156558,8075977,1124540,784231,37669,-10449913,-669377,-2371396,-1444091,-31888815,-18551956,-8995744,-11845693,-27999539,18249,724877,2199287,1648930,1853860,-16091171,-16133760
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),LOGO,8731182,13451413,21367054,39408409,14244638,21466493,28670792,31036244,8493426,19047817,27293313,10091357,-16325340,-6637052,-13652490,26475694,-4089447,32123182,48954306,56592586,30262086,26977417,42201993
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,LOGO,-2114687,2887918,6013294,150909,-6545556,-8109838,-11763089,13789691,2003337,-2854717,2539350,5662470,-3060492,5891224,2251863,13257172,-9327360,-8519973,-15830824,-2039949,-10550838,-7484956,-10927273
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),LOGO,6616495,16339331,27380347,39559318,7699082,13356655,16907703,44825934,10496763,16193099,29832663,15753827,-19385832,-745828,-11400627,39732866,-13416807,23603208,33123482,54552637,19711247,19492461,31274721
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,LOGO,-755974,-832960,-1415832,-1979462,-725127,-846467,-2300782,-3015301,-670952,-1190266,-2227218,-5214020,-765123,-5834055,-7412151,1267094,409232,4565218,6334077,6304175,-35774,-147824,-235110
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),LOGO,-3141746,-5743222,-8569665,-12016157,-3640720,-7192576,-10652485,-15679408,-3980694,-7480761,-11101211,-29779036,-12923306,-23316927,-30940287,-31790456,-8793679,-14406426,-23860781,-30160020,-5326087,-10480176,-15912238
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,LOGO,-250040,-562030,34094,-5774449,136025,4379444,2336774,-28682781,-344959,1148080,-4393856,-4751727,15188400,10959,35297610,-8003597,8610542,11803517,22355359,17266533,-7880362,9153146,5739756
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,LOGO,-3391786,-6305252,-8535571,-17790606,-3504695,-2813132,-8315712,-44362189,-4325653,-6332680,-15495068,-34530763,2265094,-23305968,4357322,-39794053,-183137,-2602909,-1505421,-12893487,-13206449,-1327029,-10172482
4CB,Serbest Nakit Akım,Free Cash Flow,LOGO,2468736,9201120,17428944,19789249,3469259,9697056,6291209,-2551555,5500158,8670153,12110378,-23990957,-17885861,-29885851,-14455456,1205907,-13190712,25565518,37952138,47963325,6469025,18017608,20867129
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,LOGO,771014,-2320539,-2363900,-4153021,1583276,1142469,2108809,2694746,-1293595,-2020476,-3509178,-4165932,1478006,574421,979416,-475229,-610392,26437,-39033,323445,-43248,-20436,-48968
4CBB,Temettü Ödemeleri,Dividends Paid,LOGO,0,0,0,0,0,-3634173,-3538144,-3212609,0,-5825244,-5449463,-10725783,0,-13333042,-12953448,-12824246,0,-16023690,-16875000,-16570423,0,-13170544,-13736199
4CBC,Sermaye Artırımı,Rights Issue,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,LOGO,-426357,-668205,-1253790,-1451415,-363338,185714,-216918,-1665967,-1911014,-2704112,-3226707,-10136557,-2324162,-8607174,-13737089,-16917364,-1983791,-10511661,-10915675,-19401527,-324859,-1231575,-2047303
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,LOGO,344657,-2988743,-3617690,-5604436,1219938,-2305989,-1646253,-2183830,-3204609,-10549832,-12185348,-25028272,-846155,-21365795,-25711122,-30216839,-2594183,-26508913,-27829709,-35648506,-368108,-14422554,-15832470
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,LOGO,2813393,6212376,13811254,14184813,4689197,7391066,4644956,-4735385,2295550,-1879679,-74970,-49019228,-18732016,-51251646,-40166578,-29010931,-15784895,-943396,10122429,12314820,6100917,3595054,5034658
