date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass
2022-11-02,76.29954,77.46046,75.6419,75.9368,361819031.0,ARCLK,75.9368,76.29954,77.46046,75.6419,0,-0.0038684694162663957,0.07142776517332083,0.09964405596633452,0.023598220477989408,0.019441331450523805,71.928625,70.855668,63.958699,0.1872786843272094,67.4602234805262,1.4243631640249248,0.8588725979951954,0.5654905660297294,6.772628272457459,2.1134549285714286,32086361351.7,0.10809120215758372,1,1,0.19093904404715478,1,1,0.1883500489881058,1,1,0.3877026685348868,1,1,0.6000002633769135,1,1,0.1922335415766796,1,1
2022-11-03,78.09252,79.81966,75.88765,78.4435,664943515.0,ARCLK,78.4435,78.09252,79.81966,75.88765,0,0.03301034544515957,0.052770377726928164,0.1311133124827868,0.024411210847268838,0.0197435834384974,72.38326500000001,71.077828,64.110351,0.22356996610422564,69.47888689190006,1.7146987799915365,1.0300378343944638,0.6846609455970727,11.142045494796648,2.271437785714286,32751304866.7,0.028194815376672233,1,1,0.1647861199462033,1,1,0.17919776654534791,1,1,0.26942321543531333,1,1,0.536340168401461,1,1,0.15476107006954054,1,1
2022-11-04,79.623055,80.70435,78.541756,79.6722,545748985.0,ARCLK,79.6722,79.623055,80.70435,78.541756,0,0.01566350303084385,0.10047515124727213,0.14074585279386964,0.024498034723200775,0.019748876040980076,72.874765,71.28523999999999,64.27457399999999,0.23956014084200739,69.77884644224713,2.0206449317603585,1.228159253867643,0.7924856778927156,10.648456769548687,2.2644127857142857,33297053851.7,0.028995057247069855,1,1,0.12399808214157515,1,1,0.23318924292287635,1,1,0.28809421605026575,1,1,0.5237510700093633,1,1,0.14188763458270248,1,1
2022-11-07,79.642715,80.360306,79.082405,79.2299,351255152.0,ARCLK,79.2299,79.642715,80.360306,79.082405,0,-0.0055514972600230195,0.024794019117095445,0.1280622022512865,0.02465528731660295,0.019781127743572786,73.32449,71.472012,64.433466,0.2296389581153373,68.03881964628799,2.202035849166009,1.4229345729273162,0.7791012762386929,11.789165058187457,2.232816428571429,32945798699.7,0.10173684429741803,1,1,0.15260526644612704,1,1,0.30769191933853257,1,1,0.3473941024789884,1,1,0.45905649256152037,1,1,0.2580641904129628,1,1
2022-11-08,78.68921,80.26201,77.70621,77.8537,438133402.0,ARCLK,77.8537,78.68921,80.26201,77.70621,0,-0.01736970512394942,0.021277237684585337,0.09847420225074233,0.02520296659568768,0.01988090938278191,73.673455,71.588006,64.59398449999999,0.2052778691799082,66.11772816054537,2.2092744784819303,1.5802025540382392,0.6290719244436911,10.000141290833064,2.3135628571428577,32507665297.7,0.11679213704679414,1,1,0.17361024588426743,1,1,0.35606014871483294,1,1,0.3257571573348472,1,1,0.49873673312893274,1,1,0.19318157004740955,1,1
2022-11-09,78.418884,79.27901,77.313,77.5588,366622262.0,ARCLK,77.5588,78.418884,79.27901,77.313,0,-0.0037878739224982416,0.02135986767943865,0.08008277606178682,0.02519891382670485,0.01989372923241947,73.960985,71.701052,64.7462225,0.19788918959712287,66.90468001414517,2.1662440657980255,1.6974108563901966,0.4688332094078289,9.43133204654998,2.355691785714286,32141043035.7,0.14511957379433404,1,1,0.14258472281675316,1,1,0.34093745648462837,1,1,0.2021537207899038,1,1,0.49683079160585253,1,1,0.13561452730057688,1,1
2022-11-10,78.12103,79.328156,77.018105,78.9841,334977547.0,ARCLK,78.9841,78.12103,79.328156,77.018105,0,0.01837702491528992,0.006891584388763805,0.1372964333539719,0.023804073049794355,0.01982681074422467,74.43774,71.87897400000001,64.9012865,0.2169882025374028,66.90468001414516,2.221543382745992,1.8022373616613558,0.419306021084636,6.0025633627023955,2.3767561428571438,32476020582.7,0.1375238813887858,1,1,0.11263279571458074,1,1,0.29433772113627943,1,1,0.33167434964758735,1,1,0.45861888658603456,1,1,0.1593029483149142,1,1
2022-11-11,78.70297,80.01626,77.018105,77.6571,339910574.0,ARCLK,77.6571,78.70297,80.01626,77.018105,0,-0.016800849791287042,-0.025292385549790297,0.09798534928011837,0.024192931425658187,0.019980536514134156,74.78425,72.02740800000001,65.0452255,0.19389393153844936,66.27350681631695,2.1336947748534243,1.8685288442997696,0.26516593055365467,7.26415094339623,2.478567214285715,32136110008.7,0.16329092896850383,1,1,0.15506244760620747,1,1,0.36582231373564045,1,1,0.31139200407947243,1,1,0.4810120388219492,1,1,0.18164469185689391,1,1
2022-11-14,79.71546,81.441605,77.65706,80.3112,492665775.0,ARCLK,80.3112,79.71546,81.441605,77.65706,0,0.03417717117945429,0.013647625454531687,0.11917947574520271,0.024986798992514336,0.020197263653201816,75.21186,72.22401,65.2038525,0.23169409353534753,70.37836497773068,2.2522749849107697,1.9452780724219698,0.3069969124887999,3.878002405804981,2.664634714285714,32628775783.7,0.12913018358585093,1,1,0.15116197989819602,1,1,0.28886132942852316,1,1,0.35006076362948124,1,1,0.47980356413551295,1,1,0.10159106077359081,1,1
2022-11-15,82.08744,83.84996,79.91796,83.0636,943355807.0,ARCLK,83.0636,82.08744,83.84996,79.91796,0,0.03427168315253648,0.0669191059641352,0.15516121630172508,0.025750238028413624,0.02045617243347943,75.769715,72.480574,65.374824,0.27057473990293257,73.39631622993237,2.539077428859841,2.064037943709544,0.4750394851502966,8.962019737195925,2.8928311428571436,33572131590.7,0.08343125027087694,1,1,0.13550219349992054,1,1,0.32781025623738924,1,1,0.3668634636591721,1,1,0.40591667108095497,1,1,0.030769193726253308,1,1
2022-11-16,83.99151,85.22616,82.12971,84.1449,855740186.0,ARCLK,84.1449,83.99151,85.22616,82.12971,0,0.013017735807261177,0.08491750774895945,0.1831381001995218,0.025399990813172544,0.02047335550700613,76.420955,72.782356,65.547657,0.2837209421535847,70.50217931692038,2.8211023928785153,2.2154508335433385,0.6056515593351768,10.809120215758373,2.8191061428571422,34427871776.7,0.07476626628589478,1,1,0.07242982046446067,1,1,0.3633173252330206,1,1,0.3668219939651718,1,1,0.37383133142947456,1,1,0.013433969260169043,1,0
2022-11-17,81.84857,84.63636,80.55691,80.6552,423535117.0,ARCLK,80.6552,81.84857,84.63636,80.55691,0,-0.04147250754353515,0.021157422823074423,0.14275674948108152,0.027582636234577806,0.021295594873001734,76.92474,73.033022,65.707768,0.22748348414452302,66.6008572646342,2.7315321807236046,2.3186671029793917,0.4128650777442129,2.8194815376672233,2.9525101428571423,34004336659.699997,0.1328457433618664,1,1,0.14686219859351923,1,1,0.4491167339489581,1,1,0.4076786121663578,1,1,0.43814781935944636,1,1,0.037781816919429945,1,1
2022-11-18,81.83972,82.47376,80.70435,81.9823,206681074.0,ARCLK,81.9823,81.83972,82.47376,80.70435,0,0.016453991807099833,0.055696130810962474,0.1385671510788169,0.027501393354017238,0.0210948453632882,77.423615,73.295484,65.874042,0.24453119181604177,60.97012014904682,2.7360930437848623,2.402152291140486,0.3339407526443763,2.8995057247069855,2.7243137142857137,34211017733.699997,0.09232602647156773,1,1,0.1984403950608853,1,1,0.4868099577591749,1,1,0.40527528503103727,1,1,0.4520378179192339,1,1,0.020982577946703218,1,1
2022-11-21,85.43358,87.33961,82.71951,87.2905,772207497.0,ARCLK,87.2905,85.43358,87.33961,82.71951,0,0.06474812246057993,0.08690319656536061,0.23162241937850614,0.02981355470846905,0.022542549331529788,78.24442,73.62577399999999,66.056459,0.3214529104564927,71.67644107131655,3.131931975883745,2.548108228089138,0.5838237477946073,10.173684429741803,2.941975142857142,34983225230.7,0.046171118277476,1,1,0.18693672278197515,1,1,0.2905402076972867,1,1,0.34459419982701456,1,1,0.36486444687566255,1,1,-0.0011261248360359133,0,0
2022-11-22,87.42612,89.15816,85.37361,86.9464,622572010.0,ARCLK,86.9464,87.42612,89.15816,85.37361,0,-0.003942009726144335,0.04674490390495967,0.22847292867638758,0.02987429629159798,0.02228316486251927,79.05294,73.946232,66.23432,0.3127091815844112,71.53846153846152,3.3789210882018637,2.714270800111683,0.6646502880901806,11.679213704679414,3.0824029999999993,34360653220.7,0.05087617198641925,1,1,0.2142457882097475,1,1,0.29903940818711305,1,1,0.3499155801735323,1,1,0.36235197777021244,1,1,0.041831519188833655,1,1
2022-11-23,87.84291,89.15816,85.86511,88.8141,543033025.0,ARCLK,88.8141,87.84291,89.15816,85.86511,0,0.021481050394265955,0.05548999404598476,0.25311960312891535,0.02988048234418612,0.022392827614784547,79.94992500000001,74.293232,66.42506399999999,0.33705704822504967,70.80861992856855,3.682915166648229,2.9079996734189923,0.7749154932292366,14.511957379433404,3.0367629999999983,34903686245.7,-0.0022136124781987343,0,0,0.17100212691453276,1,1,0.18539060802282514,1,1,0.32263458167115355,1,1,0.34587751269224154,1,1,0.09573930265577202,1,1
2022-11-24,89.5779,90.87841,87.58536,89.8463,529169109.0,ARCLK,89.8463,89.5779,90.87841,87.58536,0,0.011622028484215896,0.11395545482498348,0.20580447313501948,0.028396353590799932,0.02208586595953219,80.716665,74.65006199999999,66.62569500000001,0.34852326868785366,70.57660026291838,3.961457362962065,3.118691211327607,0.842766151634458,13.75238813887858,3.1104915714285704,35432855354.7,-0.021881813719652254,0,-1,0.13785542643380988,1,1,0.11597361271415729,1,1,0.33916811265461133,1,1,0.3271331151088024,1,1,0.05361044361314815,1,1
2022-11-25,90.273865,91.468216,88.420906,90.3378,433425662.0,ARCLK,90.3378,90.273865,91.468216,88.420906,0,0.005470453429913036,0.10191834091017227,0.24779413795961225,0.02697671892861604,0.022084246309365445,81.61365500000001,75.011808,66.831147,0.3517320000508146,72.42054441156642,4.173751592404969,3.3297032875430794,0.8440483048618894,16.329092896850383,3.236877928571427,35866281016.7,-0.007073450980652596,0,0,0.17410209236886431,1,1,0.02883510557042568,1,1,0.3732313605157531,1,1,0.2872684524086262,1,1,0.09684428888018082,1,1
2022-11-28,91.62353,93.090164,90.14116,90.6818,456875327.0,ARCLK,90.6818,91.62353,93.090164,90.14116,0,0.00380792979240141,0.03885073404322359,0.17291787926998037,0.02350528755685941,0.02208405828958547,82.282095,75.328334,67.0472985,0.35250490368377774,77.01847132416435,4.319956454875552,3.527753921009574,0.7922025338659777,12.913018358585093,3.2649639285714267,36323156343.7,0.01951218436334523,1,0,0.14146388801280985,1,1,0.09051540661963053,1,1,0.45691086855355767,1,1,0.2574529839504729,1,1,0.131707795831137,1,1
2022-11-29,90.07235,91.61566,88.66666,89.9937,306770874.0,ARCLK,89.9937,90.07235,91.61566,88.66666,0,-0.00758807169685638,0.03504802959064435,0.1805285727591015,0.023228412898313688,0.02211535980414328,82.970195,75.714654,67.2576465,0.33804414342687417,75.76359048096566,4.330382982966469,3.6882797334009534,0.6421032495655159,8.343125027087694,3.3351774999999995,36016385469.7,0.04806114205772172,1,1,0.2255602336608007,1,1,0.05024573942398192,1,1,0.5204808781059118,1,1,0.27034447966913233,1,1,0.19716046789941966,1,1
2022-11-30,91.47117,94.368065,89.40391,90.4361,830832899.0,ARCLK,90.4361,91.47117,94.368065,89.40391,0,0.004915899668532342,0.018262865918812432,0.19093904404715478,0.02306298204120526,0.021939973471137145,83.69516,76.10294,67.466662,0.3404561203872809,74.73455494215932,4.324493989499629,3.815522584620689,0.5089714048789404,7.476626628589478,3.5247563571428566,36847218368.7,-0.002173910639666987,0,0,0.2684779639988899,1,1,0.13695637029902885,1,1,0.541303749277114,1,1,0.22717366184521448,1,1,0.21739106396671248,1,1
2022-12-01,91.96463,93.23762,89.944565,91.3699,466039022.0,ARCLK,91.3699,91.96463,93.23762,89.944565,0,0.010325522661857489,0.01695784912678655,0.1647861199462033,0.022368676657523952,0.021819181660236373,84.34148,76.52268,67.6803465,0.35002116160856245,80.12928117557104,4.3450892910341565,3.9214359259033826,0.4236533651307739,13.284574336186639,3.5458206428571435,37313257390.7,0.012372783597224046,1,0,0.27918275055570807,1,1,0.2296938050714732,1,1,0.48897284554322606,1,1,0.17052223981858372,1,1,0.2910170636062861,1,1
2022-12-02,89.77254,91.41907,88.66666,89.5514,470541230.0,ARCLK,89.5514,89.77254,91.41907,88.66666,0,-0.019902615631624876,-0.008705104618443205,0.12399808214157515,0.023119393343569633,0.022042901509650978,84.83543999999999,76.90998400000001,67.8849385,0.31916448594852875,71.0761370375439,4.1666429968969965,3.9704773401021054,0.19616565679489106,9.232602647156774,3.472096714285716,36842716160.7,0.09714532659455921,1,1,0.3611411993559006,1,1,0.313940373908169,1,1,0.47639902893757125,1,1,0.14050478272813138,1,1,0.2952795824520891,1,1
2022-12-05,90.46948,91.91057,88.47006,91.3208,391955316.0,ARCLK,91.3208,90.46948,91.91057,88.47006,0,0.01975848507114364,0.007046617954209244,0.15260526644612704,0.02314001560694857,0.02192307461621618,85.439985,77.338574,68.095778,0.34106405245858284,69.71821568440159,4.120500253662513,4.0004819228141875,0.12001833084832558,4.6171118277476,3.4369902857142876,37234671476.7,0.13455313575877548,1,1,0.2335842436772344,1,1,0.2712591216896916,1,1,0.42518790899773107,1,1,0.07642618111098454,1,1,0.268029846431481,1,1
2022-12-06,92.06097,93.38506,91.12416,91.3699,328961621.0,ARCLK,91.3699,92.06097,93.38506,91.12416,0,0.0005376650226454061,0.015292181563820506,0.17361024588426743,0.022468747296410373,0.02192686079400654,86.115795,77.75635,68.3094625,0.337587746353589,68.14797697153593,4.041308073023956,4.008647152856141,0.032660920167814744,5.087617198641925,3.377308142857145,37563633097.7,0.15546038684512076,1,1,0.23614888491724284,1,1,0.253362431172629,1,1,0.3910708012157176,1,1,0.06347495181673612,1,1,0.22754211178954997,1,1
2022-12-07,90.15001,92.40207,87.29047,88.6175,344097404.0,ARCLK,88.6175,90.15001,92.40207,87.29047,0,-0.030123705946925594,-0.02010922629348222,0.14258472281675316,0.02393658241664945,0.022371714797518594,86.66873000000001,78.15053400000001,68.507967,0.29353568468905245,70.76923076923083,3.7136434520333523,3.9496464126915836,-0.23600296065823123,-0.22136124781987343,3.451033142857145,37219535693.7,0.1736000225689056,1,1,0.18802042485964954,1,1,0.280089147177476,1,1,0.37437639292464797,1,1,0.07432053488306467,1,1,0.2701057917454226,1,1
2022-12-08,86.99556,89.35477,84.88211,87.8803,342516650.0,ARCLK,87.8803,86.99556,89.35477,84.88211,0,-0.008318898637402317,-0.038192008527972554,0.11263279571458074,0.024010445898663683,0.022420764104718813,87.11353999999999,78.52899,68.701604,0.27915936285854404,65.87310131010952,3.3557974560773687,3.830876621368741,-0.4750791652913722,-2.1881813719652254,3.640611714285716,36877019043.7,0.16331077613526568,1,1,0.14093943693865385,1,1,0.2751674721183246,1,1,0.4854580605664749,1,1,0.038031276634239886,1,1,0.2505589990020516,1,1
